payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.13,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [11, 3, 6, 2, 7, 3, 6, 1, 4, 2, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.09083333333333334,,,True,allD,12,12,"[{""t"": 1, ""sizes"": [3, 3, 1, 28, 4, 5, 1, 1, 2, 1, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.1385714285714286,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [1, 17, 3, 3, 5, 13, 3, 2, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.13399999999999998,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [1, 4, 32, 1, 5, 1, 1, 1, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.11800000000000002,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [2, 1, 21, 7, 1, 3, 2, 1, 2, 3]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.12222222222222223,,,True,allD,9,9,"[{""t"": 1, ""sizes"": [13, 10, 4, 3, 4, 3, 10, 7]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.08583333333333333,,,True,allD,12,12,"[{""t"": 1, ""sizes"": [11, 2, 26, 1, 1, 5, 2, 5]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.09571428571428572,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [2, 1, 14, 5, 1, 1, 2, 11, 7, 1, 1, 1]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.152,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [36, 2, 1, 7, 4, 1, 2]}]",[],Imitate
beta_0.50,WS_k4_p0.1,ImitationStrategy,0.11499999999999999,,,True,allD,10,10,"[{""t"": 1, ""sizes"": [34, 10, 13, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.10615384615384618,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [3, 1, 3, 1, 1, 8, 1, 1, 5, 2, 1, 3, 5, 4, 1, 2, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.12249999999999998,,,True,allD,20,20,"[{""t"": 1, ""sizes"": [19, 3, 10, 15, 1, 2, 1, 1]}]",[],Imitate
