network,payoff,strategy,mean_barC,std_barC,Pr_allC,Pr_allD,mean_time_to_absorption,n_runs
ER_p0.02,Snowdrift,Fermi(K=0.5),0.42187916666666664,0.03649527033664013,0.0,0.0,,10
Grid_20x20,Snowdrift,Fermi(K=0.5),0.3498575,0.05718407027089725,0.0,0.0,,10
SBM_2block_mild,Snowdrift,Fermi(K=0.5),0.41432250000000004,0.03126905099542233,0.0,0.0,,10
SBM_2block_strong,Snowdrift,Fermi(K=0.5),0.4016875,0.052070981683540934,0.0,0.0,,10
WS_k8_p0.01,Snowdrift,Fermi(K=0.5),0.2167875,0.08866441693835536,0.0,0.0,,10
WS_k8_p0.1,Snowdrift,Fermi(K=0.5),0.3678416666666667,0.06658725432296789,0.0,0.0,,10
WS_k8_p0.5,Snowdrift,Fermi(K=0.5),0.43418333333333337,0.046072106662770264,0.0,0.0,,10
BA_m4,Snowdrift,ImitationStrategy,0.3268283333333334,0.010355256910333621,0.0,0.0,,10
ER_p0.015,Snowdrift,ImitationStrategy,0.4302991666666666,0.024368840611463546,0.0,0.0,,10
ER_p0.02,Snowdrift,ImitationStrategy,0.45811166666666664,0.037675298748682404,0.0,0.0,,10
Grid_20x20,Snowdrift,ImitationStrategy,0.4737783333333333,0.009129829349479496,0.0,0.0,,10
SBM_2block_mild,Snowdrift,ImitationStrategy,0.46358499999999997,0.019582034157063333,0.0,0.0,,10
SBM_2block_strong,Snowdrift,ImitationStrategy,0.5010125,0.06090010899385126,0.0,0.0,,10
WS_k8_p0.01,Snowdrift,ImitationStrategy,0.5641816666666667,0.011694499076145776,0.0,0.0,,10
WS_k8_p0.1,Snowdrift,ImitationStrategy,0.5528191666666669,0.020683847044236786,0.0,0.0,,10
WS_k8_p0.5,Snowdrift,ImitationStrategy,0.5200833333333333,0.01845333955523335,0.0,0.0,,10
BA_m4,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5725516666666666,0.08549413341724348,0.0,0.0,,10
ER_p0.015,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5316633333333334,0.015251834133783554,0.0,0.0,,10
ER_p0.02,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5296558333333333,0.022694443781449747,0.0,0.0,,10
Grid_20x20,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5737108333333334,0.005244123769033104,0.0,0.0,,10
SBM_2block_mild,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.53416,0.017767029650242426,0.0,0.0,,10
SBM_2block_strong,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.539675,0.014853869990803873,0.0,0.0,,10
WS_k8_p0.01,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5713633333333333,0.005171473570355837,0.0,0.0,,10
WS_k8_p0.1,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.566905,0.006669031062204077,0.0,0.0,,10
WS_k8_p0.5,Snowdrift,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.5621425,0.017636392846142237,0.0,0.0,,10
